id,orden_id,tipo,tecnico_id,at,meta,payload,created_at,cierre_token
94139ebc-8deb-424c-b483-db94a4cd056d,67db9ce0-3930-459a-9c73-eaa7124a4fc4,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:50:08.510356+00,{},"{""codigo"": ""MAN-250925205007"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 01:50:08.508+00,
955d0c50-b8f0-4f12-a26b-f67c5a5d2d61,67db9ce0-3930-459a-9c73-eaa7124a4fc4,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:50:08.574244+00,{},"{""codigo"": ""MAN-250925205007"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 01:50:08.588+00,
5627392a-bbf8-479d-b8df-f172bbe3afb5,9cbb63ee-cc26-4850-bd47-a69801c6e9b8,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:50:10.222198+00,{},"{""codigo"": ""COR-250925205007"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 01:50:10.219+00,
6d504d17-ab16-4809-b49f-5828ad359fc6,9cbb63ee-cc26-4850-bd47-a69801c6e9b8,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:50:10.282544+00,{},"{""codigo"": ""COR-250925205007"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 01:50:10.284+00,
43baf667-2450-4b79-b73e-5df7bbeda542,4d322895-d550-4fd2-9157-5e50c8a68fd0,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:50:11.081486+00,{},"{""codigo"": ""REC-250925205007"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 01:50:11.079+00,
5e262a04-87f7-4346-9687-04d27b881655,4d322895-d550-4fd2-9157-5e50c8a68fd0,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:50:11.141725+00,{},"{""codigo"": ""REC-250925205007"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 01:50:11.143+00,
631eb576-4398-441f-b6aa-620b05df0e9e,e1632c10-06e5-49c2-a9b5-53048b7001ca,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:47:30.677041+00,{},"{""codigo"": ""MAN-250926094729"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 14:47:30.674+00,
23dfadf6-d6b0-4928-b2de-d709963f2dc6,e1632c10-06e5-49c2-a9b5-53048b7001ca,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:47:30.747301+00,{},"{""codigo"": ""MAN-250926094729"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 14:47:30.765+00,
7a4174d9-85c9-4503-992b-15a0ca03038f,3d4b1776-123c-4411-92ed-85c9cc33e794,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:47:32.655881+00,{},"{""codigo"": ""COR-250926094729"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 14:47:32.653+00,
4894a2c8-7a92-431b-ad0d-2664410659e6,3d4b1776-123c-4411-92ed-85c9cc33e794,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:47:32.721287+00,{},"{""codigo"": ""COR-250926094729"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 14:47:32.723+00,
7ad5664b-531d-4589-8e32-8070304cb8ad,baa4a4e3-a324-4c3e-9beb-6f7072d382aa,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:47:33.626822+00,{},"{""codigo"": ""REC-250926094729"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 14:47:33.623+00,
b79371f0-0c8e-4dc8-84a5-c74907860cce,baa4a4e3-a324-4c3e-9beb-6f7072d382aa,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:47:33.697154+00,{},"{""codigo"": ""REC-250926094729"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 14:47:33.699+00,
6c956ef4-9ea0-4bd6-9cd7-dcecc5e7c718,148eec60-acd5-4d72-b492-4484d51e0789,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:54:11.870589+00,{},"{""codigo"": ""MAN-250926095411"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 14:54:11.868+00,
ba77631e-029e-4940-82ac-a32e8baa1d01,148eec60-acd5-4d72-b492-4484d51e0789,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:54:11.939236+00,{},"{""codigo"": ""MAN-250926095411"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 14:54:11.952+00,
34cb7994-a7fe-47e5-9a0b-b6c515840eb7,8b9891df-82ca-4640-8b1f-db9d9e0d2c84,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:54:13.820193+00,{},"{""codigo"": ""COR-250926095411"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 14:54:13.818+00,
4c03fa52-25f9-4029-a341-293ae5116d0c,8b9891df-82ca-4640-8b1f-db9d9e0d2c84,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:54:13.883502+00,{},"{""codigo"": ""COR-250926095411"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 14:54:13.886+00,
61cf0801-fc58-4689-a498-32c36ba07326,1935966e-08aa-42a1-939a-d606c0832b60,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:54:14.778329+00,{},"{""codigo"": ""REC-250926095411"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 14:54:14.776+00,
0b63a536-8566-4462-be34-cd066f4b316c,1935966e-08aa-42a1-939a-d606c0832b60,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:54:14.840899+00,{},"{""codigo"": ""REC-250926095411"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 14:54:14.842+00,
13ce6a32-972f-4804-8fdd-4825843522cd,eb9f2d5d-ad79-4755-b702-42b5219fb04b,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:55:49.401841+00,{},"{""codigo"": ""COR-250926095549"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 14:55:49.399+00,
16e58463-e3fb-4b9a-a563-980db54a258a,eb9f2d5d-ad79-4755-b702-42b5219fb04b,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:55:49.423119+00,{},"{""codigo"": ""COR-250926095549"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 14:55:49.424+00,
59c4a05c-8de3-4841-b1b2-cfecd56dfbb9,d95fc506-324d-4bb6-8201-ddab851c7e77,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:55:49.740778+00,{},"{""codigo"": ""MAN-250926095549"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 14:55:49.738+00,
9ea4887e-1078-4529-8f40-f464a85c24e9,d95fc506-324d-4bb6-8201-ddab851c7e77,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 14:55:49.804496+00,{},"{""codigo"": ""MAN-250926095549"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 14:55:49.818+00,
