isp-api  | [REQ] GET /v1/catalogos/motivos-reagenda rid=6826936a-9909-4c46-a99c-474a00b7394d
isp-api  | [RES] GET /v1/catalogos/motivos-reagenda -> 200 2.3ms rid=6826936a-9909-4c46-a99c-474a00b7394d
isp-api  | [REQ] GET /v1/catalogos/motivos_reagenda/items?soloActivos=true rid=4c68016c-0b40-4203-99c3-c7d60019efaf
isp-api  | [RES] GET /v1/catalogos/motivos_reagenda/items?soloActivos=true -> 200 2.3ms rid=4c68016c-0b40-4203-99c3-c7d60019efaf
isp-api  | [REQ] GET /v1/catalogos/motivos-reagenda rid=05ca5280-35e7-4b72-81d0-12cc8664dff0
isp-api  | [RES] GET /v1/catalogos/motivos-reagenda -> 200 2.3ms rid=05ca5280-35e7-4b72-81d0-12cc8664dff0
isp-api  | [REQ] GET /v1/catalogos/motivos_reagenda/items?soloActivos=true rid=6749d279-a20f-4892-9efa-01a3adb3f24f
isp-api  | [RES] GET /v1/catalogos/motivos_reagenda/items?soloActivos=true -> 200 2.0ms rid=6749d279-a20f-4892-9efa-01a3adb3f24f
isp-api  | [REQ] GET /v1/admin/catalogos/motivos_reagenda/items rid=6495ea72-0b00-45ff-bbe2-ce018da0d66a
isp-api  | [RES] GET /v1/admin/catalogos/motivos_reagenda/items -> 200 3.9ms rid=6495ea72-0b00-45ff-bbe2-ce018da0d66a
isp-api  | [REQ] POST /v1/admin/catalogos/motivos_reagenda/items rid=a8c630d1-d4ed-4b68-9814-6a60fa73c2d9
isp-api  | [RES] POST /v1/admin/catalogos/motivos_reagenda/items -> 201 5.6ms rid=a8c630d1-d4ed-4b68-9814-6a60fa73c2d9
isp-api  | [REQ] GET /v1/materiales rid=af25b51e-a38e-4820-b25a-f2fa8b801f7d
isp-api  | [RES] GET /v1/materiales -> 200 3.6ms rid=af25b51e-a38e-4820-b25a-f2fa8b801f7d
isp-api  | [REQ] POST /v1/agenda/ordenes/MAN-20250919180856/asignar rid=bacbfe1a-dcfc-452c-8c1e-d2841d3a168b
isp-api  | [32m[Nest] 1  - [39m09/19/2025, 11:08:57 PM [32m    LOG[39m [38;5;3m[AgendaService] [39m[32m[ASIGNAR] MAN-20250919180856 -> {"ok":true,"orden":[{"codigo":"MAN-20250919180856","estado":"agendada","agendadoPara":"2025-09-19","turno":"am","agendadaAt":"2025-09-19T23:08:57.000Z","tecnicoId":"a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec"}]}[39m
isp-api  | [RES] POST /v1/agenda/ordenes/MAN-20250919180856/asignar -> 200 3.4ms rid=bacbfe1a-dcfc-452c-8c1e-d2841d3a168b
isp-api  | [REQ] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes rid=a056a5dc-ac29-430b-b141-33cf026f257a
isp-api  | [RES] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes -> 200 3.8ms rid=a056a5dc-ac29-430b-b141-33cf026f257a
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919180856/iniciar rid=4a2b3643-3b1a-4485-90dc-e82e39419936
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919180856/iniciar -> 200 5.3ms rid=4a2b3643-3b1a-4485-90dc-e82e39419936
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919180856/cerrar rid=b54a3686-9db5-4f52-b04a-68acd76bc72e
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919180856/cerrar -> 200 12.5ms rid=b54a3686-9db5-4f52-b04a-68acd76bc72e
isp-api  | [REQ] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes rid=ad31a682-6190-42c9-95be-01416806bbe8
isp-api  | [RES] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes -> 200 5.3ms rid=ad31a682-6190-42c9-95be-01416806bbe8
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919180858/iniciar rid=6ab691f9-a5c5-4749-b3b7-571adecaf2c6
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919180858/iniciar -> 200 6.0ms rid=6ab691f9-a5c5-4749-b3b7-571adecaf2c6
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919180858/cerrar rid=fc635f63-62c2-447c-a277-3c88a5bbd0ef
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919180858/cerrar -> 200 5.3ms rid=fc635f63-62c2-447c-a277-3c88a5bbd0ef
isp-api  | [REQ] GET /v1/catalogos/motivos-reagenda rid=3188314f-4716-4b37-b327-1062d5931d5a
isp-api  | [RES] GET /v1/catalogos/motivos-reagenda -> 200 19.6ms rid=3188314f-4716-4b37-b327-1062d5931d5a
isp-api  | [REQ] GET /v1/catalogos/motivos_reagenda/items?soloActivos=true rid=7a243cdb-094f-46ea-932c-3c03f1ceaaf3
isp-api  | [RES] GET /v1/catalogos/motivos_reagenda/items?soloActivos=true -> 200 2.3ms rid=7a243cdb-094f-46ea-932c-3c03f1ceaaf3
isp-api  | [REQ] GET /v1/catalogos/motivos-reagenda rid=86b01e39-fe23-4472-ab69-5924877092fc
isp-api  | [RES] GET /v1/catalogos/motivos-reagenda -> 200 13.6ms rid=86b01e39-fe23-4472-ab69-5924877092fc
isp-api  | [REQ] GET /v1/catalogos/motivos_reagenda/items?soloActivos=true rid=b3acdf20-b788-414a-9a10-6ef10bf42d25
isp-api  | [RES] GET /v1/catalogos/motivos_reagenda/items?soloActivos=true -> 200 3.1ms rid=b3acdf20-b788-414a-9a10-6ef10bf42d25
isp-api  | [REQ] GET /v1/admin/catalogos/motivos_reagenda/items rid=23eaa20a-3b69-40e9-af90-a2025c0eb943
isp-api  | [RES] GET /v1/admin/catalogos/motivos_reagenda/items -> 200 4.9ms rid=23eaa20a-3b69-40e9-af90-a2025c0eb943
isp-api  | [REQ] POST /v1/admin/catalogos/motivos_reagenda/items rid=b68d236d-8a5b-4855-b269-571115c7bb52
isp-api  | [RES] POST /v1/admin/catalogos/motivos_reagenda/items -> 201 8.7ms rid=b68d236d-8a5b-4855-b269-571115c7bb52
isp-api  | [REQ] GET /v1/materiales rid=0d4362a2-ae7f-4587-9e66-010ed058d2f6
isp-api  | [RES] GET /v1/materiales -> 200 5.3ms rid=0d4362a2-ae7f-4587-9e66-010ed058d2f6
isp-api  | [REQ] POST /v1/agenda/ordenes/MAN-20250919181336/asignar rid=af717de1-f730-40ed-9460-905fddf0ade2
isp-api  | [32m[Nest] 1  - [39m09/19/2025, 11:13:36 PM [32m    LOG[39m [38;5;3m[AgendaService] [39m[32m[ASIGNAR] MAN-20250919181336 -> {"ok":true,"orden":[{"codigo":"MAN-20250919181336","estado":"agendada","agendadoPara":"2025-09-19","turno":"am","agendadaAt":"2025-09-19T23:13:36.805Z","tecnicoId":"a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec"}]}[39m
isp-api  | [RES] POST /v1/agenda/ordenes/MAN-20250919181336/asignar -> 200 6.2ms rid=af717de1-f730-40ed-9460-905fddf0ade2
isp-api  | [REQ] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes rid=f201db8c-ecac-4b29-8ef4-9bd04bf42e58
isp-api  | [RES] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes -> 200 6.0ms rid=f201db8c-ecac-4b29-8ef4-9bd04bf42e58
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919181336/iniciar rid=49ee8790-fcbe-49ff-98c3-b58a376fe968
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919181336/iniciar -> 200 9.3ms rid=49ee8790-fcbe-49ff-98c3-b58a376fe968
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919181336/cerrar rid=3cde8721-4d7d-460d-b8be-ef1d361ea4d9
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919181336/cerrar -> 200 17.2ms rid=3cde8721-4d7d-460d-b8be-ef1d361ea4d9
isp-api  | [REQ] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes rid=2a46ea48-6fae-45bd-87a5-0b01e478f783
